Year,LapNumber,Attacker_Driver,Defender_Driver,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Attacker_Compound,Defender_LapTime,Defender_TyreLife,Defender_Compound,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
2022,8.0,VET,STR,12.0,87.956,9.0,MEDIUM,87.783,9.0,MEDIUM,0.17300000000000182,0.0,0,0.08650000000000091,0
2022,8.0,OCO,VET,13.0,87.379,8.0,SOFT,87.956,9.0,MEDIUM,-0.5769999999999982,-1.0,1,0.2884999999999991,0
2022,8.0,TSU,OCO,14.0,87.331,8.0,MEDIUM,87.379,8.0,SOFT,-0.04800000000000182,0.0,-1,0.02400000000000091,0
2022,8.0,MAG,TSU,15.0,88.877,8.0,MEDIUM,87.331,8.0,MEDIUM,1.5459999999999923,0.0,0,0.7729999999999961,0
2022,8.0,HAM,MAG,16.0,87.783,8.0,MEDIUM,88.877,8.0,MEDIUM,-1.093999999999994,0.0,0,0.546999999999997,1
2022,8.0,LAT,HAM,17.0,88.76,8.0,MEDIUM,87.783,8.0,MEDIUM,0.9770000000000039,0.0,0,0.48850000000000193,0
2022,8.0,MSC,LAT,18.0,88.199,8.0,MEDIUM,88.76,8.0,MEDIUM,-0.561000000000007,0.0,0,0.2805000000000035,0
2022,8.0,BOT,MSC,19.0,88.043,8.0,MEDIUM,88.199,8.0,MEDIUM,-0.1559999999999917,0.0,0,0.07799999999999585,0
2022,9.0,VER,LEC,2.0,85.886,9.0,SOFT,86.092,9.0,SOFT,-0.20600000000000307,0.0,0,0.10300000000000153,0
2022,9.0,RUS,VER,3.0,86.404,9.0,SOFT,85.886,9.0,SOFT,0.5180000000000007,0.0,0,0.25900000000000034,0
2022,9.0,RIC,RUS,4.0,87.567,9.0,MEDIUM,86.404,9.0,SOFT,1.1629999999999967,0.0,-1,0.5814999999999984,0
2022,9.0,GAS,RIC,5.0,87.534,9.0,MEDIUM,87.567,9.0,MEDIUM,-0.03299999999998704,0.0,0,0.01649999999999352,0
2022,9.0,NOR,GAS,6.0,87.295,9.0,MEDIUM,87.534,9.0,MEDIUM,-0.23900000000000432,0.0,0,0.11950000000000216,0
2022,9.0,ALO,NOR,7.0,87.487,9.0,MEDIUM,87.295,9.0,MEDIUM,0.19199999999999307,0.0,0,0.09599999999999653,0
2022,9.0,SAI,ALO,8.0,86.94,9.0,MEDIUM,87.487,9.0,MEDIUM,-0.546999999999997,0.0,0,0.2734999999999985,1
2022,9.0,DEV,SAI,9.0,88.071,9.0,SOFT,86.94,9.0,MEDIUM,1.1310000000000002,0.0,1,0.5655000000000001,0
2022,9.0,ZHO,DEV,10.0,87.651,9.0,MEDIUM,88.071,9.0,SOFT,-0.4200000000000017,0.0,-1,0.21000000000000085,0
2022,9.0,STR,ZHO,11.0,87.902,10.0,MEDIUM,87.651,9.0,MEDIUM,0.2510000000000048,1.0,0,0.1255000000000024,0
2022,9.0,VET,STR,12.0,87.851,10.0,MEDIUM,87.902,10.0,MEDIUM,-0.05100000000000193,0.0,0,0.025500000000000966,0
2022,9.0,OCO,VET,13.0,87.876,9.0,SOFT,87.851,10.0,MEDIUM,0.025000000000005684,-1.0,1,0.012500000000002842,1
2022,9.0,TSU,OCO,14.0,87.578,9.0,MEDIUM,87.876,9.0,SOFT,-0.2980000000000018,0.0,-1,0.1490000000000009,0
2022,9.0,HAM,TSU,15.0,86.724,9.0,MEDIUM,87.578,9.0,MEDIUM,-0.8539999999999992,0.0,0,0.4269999999999996,0
2022,9.0,MAG,HAM,16.0,88.644,9.0,MEDIUM,86.724,9.0,MEDIUM,1.9200000000000017,0.0,0,0.9600000000000009,0
2022,9.0,LAT,MAG,17.0,88.305,9.0,MEDIUM,88.644,9.0,MEDIUM,-0.33899999999999864,0.0,0,0.16949999999999932,0
2022,9.0,MSC,LAT,18.0,88.693,9.0,MEDIUM,88.305,9.0,MEDIUM,0.387999999999991,0.0,0,0.1939999999999955,0
2022,9.0,BOT,MSC,19.0,88.987,9.0,MEDIUM,88.693,9.0,MEDIUM,0.29399999999999693,0.0,0,0.14699999999999847,0
2022,9.0,PER,BOT,20.0,87.176,2.0,HARD,88.987,9.0,MEDIUM,-1.8109999999999928,-7.0,-1,0.9054999999999964,0
2022,10.0,VER,LEC,2.0,85.953,10.0,SOFT,86.266,10.0,SOFT,-0.3130000000000024,0.0,0,0.1565000000000012,0
2022,10.0,RUS,VER,3.0,86.169,10.0,SOFT,85.953,10.0,SOFT,0.21599999999999397,0.0,0,0.10799999999999699,0
2022,10.0,RIC,RUS,4.0,87.661,10.0,MEDIUM,86.169,10.0,SOFT,1.4920000000000044,0.0,-1,0.7460000000000022,0
2022,10.0,GAS,RIC,5.0,87.606,10.0,MEDIUM,87.661,10.0,MEDIUM,-0.05500000000000682,0.0,0,0.02750000000000341,0
2022,10.0,NOR,GAS,6.0,87.565,10.0,MEDIUM,87.606,10.0,MEDIUM,-0.04099999999999682,0.0,0,0.02049999999999841,0
2022,10.0,SAI,NOR,7.0,86.791,10.0,MEDIUM,87.565,10.0,MEDIUM,-0.7740000000000009,0.0,0,0.38700000000000045,1
